action	imageStyle	message	startTime	endTime	room	roomId	mapId	sessionTimeID	title	abb	description	id
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 1:45 PM	2:45 PM	MGM, Level 1, Grand Ballroom 113	2006	0	10620	Using AWS Lambda as a Security Team	SID301 -	Operating a security practice on AWS brings many new challenges that haven't been faced in data center environments. The dynamic nature of infrastructure, the relationship between development team members and their applications, and the architecture paradigms have all changed as a result of building software on top of AWS. In this session, learn how your security team can leverage AWS Lambda as a tool to monitor, audit, and enforce your security policies within an AWS environment.	14206
		Session enrollment has not yet begun.<br />	Tuesday, Nov 28, 4:00 PM	5:00 PM	Aria, Level 3, Juniper 1	2028	0	11483	Building High-Throughput Severless Data Analytics Pipelines	SRV304 -	What if there were an easier way to perform streaming data analysis, with less setup, instant scaling, and no servers to provision and manage? With serverless computing, you can build real-time stream processing applications for everything from IoT data to operational logs without needing to spin up servers or install software. Come learn how to leverage AWS Lambda with Amazon Kinesis, Kinesis Firehouse, and Amazon DynamoDB to architect highly scalable, high throughput data processing pipelines. We will also share tips and tricks for doing in-line processing and data manipulation, the tradeoff between sharding and batching, autoscaling behaviors, and more.	14201
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 11:30 AM	12:30 PM	MGM, Level 3, Premiere Ballroom 319	2012	0	10306	How Amazon Is Moving to Amazon Chime	BAP204 -	Amazon is a global company with over 300,000 employees worldwide. Easy and efficient communication is critical, so earlier this year, we made Amazon Chime available company-wide. Amazon Chime is a modern communications service that runs securely on AWS. It simplifies online meetings, video conferencing, and chats in one straightforward application. In this session, we provide an overview of Amazon Chime and follow with a discussion on how Amazon is rolling out this service.	14908
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 5:30 PM	6:30 PM	Venetian, Level 3, San Polo 3405	1980	0	11576	Compliance and Top Security Threats in the Cloud -- Are You Protected?	DVC304 -	"Compliance is necessary and a good thing. However, many compliant companies are still getting breached. In this talk, we discuss the importance of using a risk model to figure out the biggest threat to your business and mitigation and monitoring tactics to guard against these high-risk threats. We also dive into a real-world example of achieving Payment Card Industry Data Security Standard (PCI-DSS) compliance in under a year; we share architecture and design patterns; and we discuss what worked and what didn't. Leave this session knowing what the top cloud attack vectors are and how to protect yourself by using AWS services to build a fully automated, highly flexible and secure environment.
 
 This session is part of the re:Invent Developer Community Day, six community-led sessions where AWS enthusiasts share technical insights on trending topics based on first-hand experiences and knowledge shared within local AWS communities."	17508
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 2:30 PM	3:30 PM	Venetian, Level 3, San Polo 3405	1980	0	11622	And You Thought You Knew Amazon EC2	DVC302 -	"When is the last time you explored the nooks and crannies of Amazon EC2? While you weren’t looking, AWS leveled it up with more features and capabilities than you can shake a shell at. This talk explores the newest, shiniest Amazon EC2 features, including the Amazon EC2 Systems Manager and the Application Load Balancer, served with a fine selection of pro tips sourced from experts throughout the AWS community.
 
 This session is part of the re:Invent Developer Community Day, six community-led sessions where AWS enthusiasts share technical insights on trending topics based on first-hand experiences and knowledge shared within local AWS communities."	17096
		Session enrollment has not yet begun.<br />	Wednesday, Nov 29, 1:00 PM	2:00 PM	MGM, Level 1, Grand Ballroom 111	2005	0	10625	SecOps 2021 Today: Using AWS Services to Deliver SecOps	SID304 -	This talk dives deep on how to build end-to-end security capabilities using AWS. Our goal is orchestrating AWS Security services with other AWS building blocks to deliver enhanced security. We cover working with AWS CloudWatch Events as a queueing mechanism for processing security events, using Amazon DynamoDB to provide a stateful layer to provide tailored response to events and other ancillary functions, using DynamoDB as an attack signature engine, and the use of analytics to derive tailored signatures for detection with AWS Lambda. Log sources include available AWS sources and also more traditional logs, such as syslog. The talk aims to keep slides to a minimum and demo live as much as possible. The demos come together to demonstrate an end-to-end architecture for SecOps. You'll get a toolkit consisting of code and templates so you can hit the ground running.	14821
		Session enrollment has not yet begun.<br />	Friday, Dec 1, 10:00 AM	11:00 AM	Venetian, Level 3, Lido 3006	1941	0	11677	Podcasting on AWS – A Discussion on Everything from Production to Distribution	CTD402 -	Reaching a large podcast audience can present some significant infrastructure scaling challenges. In this session, startup company Whooshkaa walks you through the podcasting landscape. During this session, you will learn about the new audiences you can reach through podcasts. We will explore technical solutions such as Amazon Lightsail, S3 and CloudFront which can facilitate experimentation and help you reach a global audience at low cost. We will dive into Whooshkaa’s podcasting platform and explore advanced architectures, leveraging AWS services, allowing you to curate and customize content for each listener. We will also explore tools and solutions for measuring engagement and connecting with your audience through podcasting.	14718
		Session enrollment has not yet begun.<br />	Monday, Nov 27, 11:30 AM	12:30 PM	Aria, Level 1, Bluethorn 2	2020	0	11231	How to Optimize AWS Architectures for SharePoint Deployments	WIN309 -	AWS can help you rapidly deploy and scale your Microsoft SharePoint environment to help you collaborate more efficiently and cost-effectively. This session reviews architectural considerations for building a SharePoint deployment on AWS, best practices to ensure optimal performance, how to leverage multiple Availability Zones for high availability and disaster recovery, and how to integrate with Active Directory. We also look at new Quick Start guides, AWS CloudFormation templates, and other tools that dramatically reduce the time to deployment.  Our Windows experts discuss the best ways to deploy and run SharePoint on AWS.	16411
		Session enrollment has not yet begun.<br />	Thursday, Nov 30, 5:30 PM	6:30 PM	MGM, Level 3, Premiere 305	2002	0	11236	The Best of Both Worlds: Deploying Multi-Region SQL Server Clusters on AWS for HA and DR	WIN405 -	In this chalk talk, we discuss the recommended architectures for deploying SQL Server across multiple AWS Regions. We focus on the unique advantages that AWS networking and region design offer customers deploying SQL Server AlwaysOn Availability Groups on AWS, and how best to architect for performance and low latency. Our domain experts answer your questions, help you address real-life problems with designing multi-region solutions, and provide best practice guidance along the way for effective high availability (HA) and disaster recovery (DR) solutions.	16409
		Session enrollment has not yet begun.<br />	Thursday, Nov 30, 2:30 PM	3:30 PM	MGM, Level 1, Grand Ballroom 124	2008	0	11227	How to Extend your Office 365 Investment to AWS	WIN404 -	Many enterprises choosing to adopt Office 365 for business productivity continue to use Amazon EC2 instances to run Microsoft workloads that require highly advanced functionality and customization. In addition, many enterprise deployments of Office 365 have requirements to manage and synchronize user profiles to Office 365, such as restricting user access and providing secure mobile access. They leverage AWS for these components. In this session, you learn how to architect a solution that benefits from the scalability and agility of AWS while maintaining an investment in Office 365 productivity. We discuss the Office 365 services most commonly deployed to AWS to meet these requirements and show how to connect AWS to Azure AD to ensure a globally consistent set of access policies.	15367
